"SCTBKEY","DISTRICT"
"480019509021007",6
"480019509021008",6
"480019509021009",6
"480019509021010",6
"480019509021011",6
"480019509021012",6
"480019509021013",6
"480019509021014",6
"480019509021015",6
"480019509021016",6
"480019509021017",6
"480019509021018",6
"480019509021019",6
"480019509021020",6
"480019509021021",6
"480019509021022",6
"480019509021023",6
"480019509021024",6
"480019509021025",6
"480019509021026",6
"480019509021027",6
"480019509021028",6
"480019509021029",6
"480019509021030",6
"480019509021031",6
"480019509021032",6
"480019509021033",6
"480019509021034",6
"480019509021035",6
"480019509021036",6
"480019509021037",6
"480019509021038",6
"480019509021039",6
"480019509021040",6
"480019509021041",6
"480019509021042",6
"480019509021043",6
"480019509021044",6
"480019509021045",6
"480019509021046",6
"480019509021047",6
"480019509021048",6
"480019509021049",6
"480019509021050",6
"480019509021051",6
"480019509021052",6
"480019509021053",6
"480019509021054",6
"480019509021055",6
"480019509021056",6
"480019509021057",6
"480019509021058",6
"480019509021059",6
"480019509021060",6
"480019509021061",6
"480019509021062",6
"480019509021063",6
"480019509021064",6
"480019509021065",6
"480019509021066",6
"480019509021067",6
"480019509021068",6
"480019509022000",6
"480019509022001",6
"480019509022002",6
"480019509022003",6
"480019509022004",6
"480019509022005",6
"480019509022006",6
"480019509022007",6
"480019509022008",6
"480019509022009",6
"480019509022010",6
"480019509022011",6
"480019509022012",6
"480019509022013",6
"480019509022014",6
"480019509022015",6
"480019509022016",6
"480019509022017",6
"480019509022018",6
"480019509022019",6
"480019509022020",6
"480019509022021",6
"480019509022022",6
"480019509022023",6
"480019509022024",6
"480019509022025",6
"480019509022026",6
"480019509022027",6
"480019509022028",6
"480019509022029",6
"480019509022030",6
"480019509022031",6
"480019509022032",6
"480019509022033",6
"480019509022034",6
"480019509022035",6
"480019509022036",6
"480019509022037",6
"480019509022038",6
"480019509022039",6
"480019509022040",6
"480019509022041",6
"480019509022042",6
"480019509022043",6
"480019509022044",6
"480019509022045",6
"480019509022046",6
"480019509022047",6
"480019509022048",6
"480019509022049",6
"480019509022050",6
"480019509022051",6
"480019509022052",6
"480019509022053",6
"480019509022054",6
"480019509022055",6
"480019509022056",6
"480019509022057",6
"480019509022058",6
"480019509022059",6
"480019509022060",6
"480019509022061",6
"480019509022062",6
"480019509022063",6
"480019509022064",6
"480019509022065",6
"480019509022066",6
"480019509022067",6
"480019509022068",6
"480019509022069",6
"480019509022070",6
"480019509022071",6
"480019509022072",6
"480019509022073",6
"480019509022074",6
"480019509022075",6
"480019509022076",6
"480019509022077",6
"480019509022078",6
"480019509022079",6
"480019509022080",6
"480019509022081",6
"480019509022082",6
"480019509022083",6
"480019509022084",6
"480019509022085",6
"480019509022086",6
"480019509022087",6
"480019509022088",6
"480019509022089",6
"480019509022090",6
"480019509022091",6
"480019509022092",6
"480019509022093",6
